"SOURCE" "TRAJ" "subj" "language" "stimulus" "iter" "cluster" "C1_GONS..ms." "C1_PVEL..ms." "C1_NONS..ms." "C1_MAXC..ms." "C1_NOFFS..ms." "C1_PVEL2..ms." "C1_GOFFS..ms." "C2_GONS..ms." "C2_PVEL..ms." "C2_NONS..ms." "C2_MAXC..ms." "C2_NOFFS..ms." "C2_PVEL2..ms." "C2_GOFFS..ms." "C1_PV_to" "C2_PV_to" "C1stiffness1" "C2stiffness1" "C1_PV_fro" "C2_PV_fro" "C1stiffness2" "C2stiffness2" "C1_AV_to" "C2_AV_to" "C1_AV_fro" "C2_AV_fro" "C2onset_C1release" "rel.overlap" "C2onset_C1offset" "n.overlap2" "onset.lag" "n.onset.lag" "offset.lag" "n.offset.lag" "IPI" "n.IPI" "C1_pla" "C2_pla" "n.C1_pla" "n.C2_pla" "C1_gest" "C2_gest" "n.C1_gest" "n.C2_gest" "clus_gest" "C1_to" "C1_fro" "C2_to" "C2_fro" "vowel" "C1_PD" "C1_PD2" "C2_PD" "C2_PD2" "articulator" "type" "voicing" "pros_cond" "C2target_C1offset" "recstiffmean" "recstiffmean2" "C1onset_C2target" "recC1stiffness2" "recC2stiffness1"
"12" "blasen_u_01" "LA" "DE1" "German" "blasen" 1 "bl" 3120 3164 3192 3204 3236 3288 3288 3212 3264 3284 3292 3300 3340 3388 30.885 15.914 21.9042553191489 20.4143114157906 14.553 18.074 30.31875 17.60742259814 0.195833333333333 0.108270993459427 0.0923076923076923 0.116647602732077 24 0.545454545454545 0.076 0.283582089552239 -92 -0.343283582089552 100 0.373134328358209 48 0.444444444444444 44 16 0.407407407407407 0.148148148148148 168 176 0.626865671641791 0.656716417910448 268 72 52 72 88 "a" 14.1 4.8 7.79551152907877 10.2649890404228 "LAB" "LA-TT" "voiced" "Y" 4 0.040984066431099 0.0473192362298087 164 0.0329828901257473 0.0489852427364507
"13" "blasen_u_02" "LA" "DE1" "German" "blasen" 2 "bl" 2744 2792 2820 2844 2872 2944 2976 2820 2856 2884 2896 2908 2964 3000 27.875 11.485 20.6481481481481 20.2176892390174 21.587 17.921 14.0175324675325 15.3031264647944 0.177631578947368 0.0887604527295237 0.148076923076923 0.12728998790476 52 1 0.156 0.609375 -76 -0.296875 24 0.09375 12 0.136363636363636 52 24 0.590909090909091 0.272727272727273 232 180 0.90625 0.703125 256 76 104 64 92 "a" 13.5 15.4 5.68066897468951 11.7106788872379 "LAB" "LA-TT" "voiced" "Y" 92 0.060400434321246 0.0489460649854414 140 0.071339231945152 0.0494616366973401
"14" "blasen_u_03" "LA" "DE1" "German" "blasen" 3 "bl" 3128 3172 3204 3236 3272 3332 3388 3264 3288 3308 3316 3328 3368 3412 29.535 10.106 20.6538461538462 29.2958304315182 23.642 13.053 13.989349112426 15.7242236779521 0.188157894736842 0.078400855957547 0.145689655172414 0.0988238658552935 8 0.117647058823529 0.124 0.436619718309859 -136 -0.47887323943662 24 0.0845070422535211 36 0.290322580645161 68 20 0.548387096774194 0.161290322580645 260 148 0.915492957746479 0.52112676056338 284 76 116 44 84 "a" 14.3 16.9 3.44963766213207 8.30120473184465 "LAB" "LA-TT" "voiced" "Y" 80 0.0528087522260082 0.0412758413016155 180 0.0714829540648001 0.0341345503872162
"15" "blasen_u_04" "LA" "DE1" "German" "blasen" 4 "bl" 2468 2508 2540 2568 2596 2656 2724 2584 2604 2620 2652 2664 2704 2740 27.459 14.019 20.6458646616541 35.0365527874887 23.251 11.554 13.6770588235294 16.2603420781945 0.184722222222222 0.111145827909681 0.1328125 0.0934951522288974 12 0.214285714285714 0.14 0.514705882352941 -116 -0.426470588235294 16 0.0588235294117647 24 0.193548387096774 56 44 0.451612903225806 0.354838709677419 256 156 0.941176470588235 0.573529411764706 272 72 128 36 76 "a" 13.3 17 4.00124980474851 7.10563156939621 "LAB" "LA-TT" "voiced" "Y" 104 0.0508283777622306 0.0384887352519993 152 0.0731151348329105 0.0285416206915508
"16" "blasen_u_05" "LA" "DE1" "German" "blasen" 5 "bl" 2688 2732 2760 2780 2808 2880 2944 2804 2824 2836 2844 2852 2932 2964 26.251 15.697 20.50859375 35.2053339457159 20.902 12.957 12.5915662650602 12.7409611674971 0.177777777777778 0.13933435506005 0.122058823529412 0.0907996645458157 4 0.0833333333333333 0.14 0.507246376811594 -116 -0.420289855072464 20 0.072463768115942 28 0.304347826086957 48 16 0.521739130434783 0.173913043478261 256 160 0.927536231884058 0.579710144927536 276 72 136 32 112 "a" 12.8 16.6 4.45869936192159 10.1695624291314 "LAB" "LA-TT" "voiced" "Y" 108 0.0539115120743038 0.0385824169478338 148 0.0794182374892357 0.0284047866593718
"17" "blasen_u_06" "LA" "DE1" "German" "blasen" 6 "bl" 2872 2916 2944 2968 2992 3064 3144 2968 3024 3044 3052 3064 3120 3156 33.766 13.85 20.8432098765432 19.430106271417 18.289 12.769 11.430625 14.3327226439996 0.225 0.0937909651957723 0.105263157894737 0.0968367851023582 24 0.5 0.176 0.619718309859155 -96 -0.338028169014085 12 0.0422535211267606 52 0.433333333333333 48 20 0.4 0.166666666666667 272 188 0.957746478873239 0.661971830985915 284 72 152 76 92 "a" 16.2 16 7.1281133548787 8.90898422941696 "LAB" "LA-TT" "voiced" "Y" 100 0.069475401293152 0.0497218888225242 172 0.0874842801684072 0.0514665224178968
"18" "blasen_u_07" "LA" "DE1" "German" "blasen" 7 "bl" 2532 2564 2592 2632 2680 2744 2796 2596 2640 2680 2692 2708 2776 2808 27.88 10.333 25.1171171171171 15.6542638469331 21.755 13.837 13.429012345679 12.9447846854003 0.185 0.0785804468129012 0.139655172413793 0.106892469332503 84 0.954545454545455 0.2 0.72463768115942 -64 -0.231884057971014 12 0.0434782608695652 0 0 88 28 0.758620689655172 0.241379310344828 264 212 0.956521739130435 0.768115942028985 276 60 116 84 100 "a" 11.1 16.2 6.6007575322837 10.6892469332503 "LAB" "LA-TT" "voiced" "Y" 116 0.0691729997195064 0.0518469228632155 148 0.0744656400827397 0.0638803593562731
"19" "blasen_u_08" "LA" "DE1" "German" "blasen" 8 "bl" 2664 2700 2728 2756 2788 2840 2896 2764 2784 2800 2808 2820 2872 2904 26.606 12.792 22.3579831932773 32.6182219092359 21.201 13.847 13.4183544303797 14.9830880347718 0.1859375 0.108937064172931 0.146296296296296 0.110020870005353 24 0.4 0.132 0.55 -100 -0.416666666666667 8 0.0333333333333333 12 0.130434782608696 60 20 0.652173913043478 0.217391304347826 232 140 0.966666666666667 0.583333333333333 240 64 108 36 84 "a" 11.9 15.8 3.92173431022551 9.24175308044962 "LAB" "LA-TT" "voiced" "Y" 96 0.0525912484671441 0.0376922318657597 136 0.0745247865666716 0.0306577103676166
"20" "blasen_u_09" "LA" "DE1" "German" "blasen" 9 "bl" 2288 2320 2372 2384 2408 2464 2520 2400 2416 2432 2436 2444 2500 2540 6.432 15.204 16.9263157894737 37.4751125191534 23.303 14.545 13.316 14.1634757099862 0.0452380952380952 0.12678414234438 0.15625 0.106972624353669 8 0.222222222222222 0.12 0.476190476190476 -112 -0.444444444444444 20 0.0793650793650794 24 0.333333333333333 36 12 0.5 0.166666666666667 232 140 0.920634920634921 0.555555555555556 252 84 112 32 96 "a" 3.8 17.5 4.05709255502016 10.2693719379522 "LAB" "LA-TT" "voiced" "Y" 88 0.0508910015495105 0.0428819890870406 144 0.0750976269149895 0.0266843761840316
"21" "blasen_u_10" "LA" "DE1" "German" "blasen" 10 "bl" 2824 2868 2900 2936 2956 3024 3100 2956 2972 2992 3000 3012 3068 3108 25.499 11.543 20.0779527559055 33.4896397116103 18.766 12.635 11.8025157232704 13.9233405133393 0.167105263157895 0.0957427107756338 0.110416666666667 0.0945280216390886 0 0 0.144 0.507042253521127 -132 -0.464788732394366 8 0.028169014084507 36 0.321428571428571 56 20 0.5 0.178571428571429 276 152 0.971830985915493 0.535211267605634 284 76 144 36 96 "a" 12.7 15.9 3.44673758792282 9.0746900773525 "LAB" "LA-TT" "voiced" "Y" 108 0.0572938399331817 0.0398329277881941 168 0.0847276990301612 0.0298599808362022
